Symbol,Time,expected,expected_raw,confidence,magnitude_pred,position_signal,position_exec,fwd_ret,return,equity
BTC-USD,2025-12-09 16:49:38.030781+00:00,4.640413494016575e-07,4.640413494016575e-07,0.11937278651117035,3.887329457273201e-06,0,0,8.416005928940851e-05,0.0,1.0
BTC-USD,2025-12-09 16:49:38.370611+00:00,-1.1108347070275962e-06,-1.1108347070275962e-06,0.05452772725955707,2.0371923842340236e-05,0,0,4.2500432953387026e-05,0.0,1.0
BTC-USD,2025-12-09 16:49:38.392743+00:00,2.4300846864957747e-06,2.4300846864957747e-06,0.1254776089460754,1.9366679895375718e-05,0,0,2.4799697401262042e-05,0.0,1.0
BTC-USD,2025-12-09 16:49:38.796916+00:00,1.6775084639961342e-06,1.6775084639961342e-06,0.11025897492960729,1.5214257751508275e-05,0,0,1.7698490424727246e-05,0.0,1.0
BTC-USD,2025-12-09 16:49:38.952328+00:00,1.4400461600054165e-06,1.4400461600054165e-06,0.10834610938315986,1.3291166320636166e-05,0,0,-1.7274268757997632e-05,-0.0,1.0
BTC-USD,2025-12-09 16:49:39.431320+00:00,8.857472010056906e-06,8.857472010056906e-06,0.42133208979350134,2.102254308329098e-05,0,0,9.018807764493297e-05,0.0,1.0
BTC-USD,2025-12-09 16:49:39.464069+00:00,1.932280419864207e-06,1.932280419864207e-06,0.07191006435430147,2.6870792526952073e-05,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:39.464289+00:00,1.98966007326947e-06,1.98966007326947e-06,0.25322679061263814,7.857225803224983e-06,0,0,-3.0307243388788334e-05,-0.0,1.0
BTC-USD,2025-12-09 16:49:39.897194+00:00,9.098195799383161e-06,9.098195799383161e-06,0.49277522859591094,1.8463176051497364e-05,0,0,8.435418499542357e-05,0.0,1.0
BTC-USD,2025-12-09 16:49:40.038085+00:00,4.6827161585353405e-06,4.6827161585353405e-06,0.2114137329277459,2.2149536331850948e-05,0,0,-2.108676749169284e-05,-0.0,1.0
BTC-USD,2025-12-09 16:49:40.225416+00:00,7.898856397641836e-06,7.898856397641836e-06,0.5162555986557109,1.53002822985549e-05,0,0,-1.0596589031442331e-07,-0.0,1.0
BTC-USD,2025-12-09 16:49:40.336597+00:00,3.0533299756532158e-06,3.0533299756532158e-06,0.2961584961923815,1.0309783494003846e-05,0,0,-2.1193180288901198e-05,-0.0,1.0
BTC-USD,2025-12-09 16:49:40.341291+00:00,5.451829801305343e-06,5.451829801305343e-06,0.4123519379428203,1.3221302726268096e-05,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.341584+00:00,2.085247859770718e-06,2.085247859770718e-06,0.2585921940219766,8.063846890882955e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.342413+00:00,1.3802772461441775e-06,1.3802772461441775e-06,0.224680633187027,6.143285367169218e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.345891+00:00,1.1462694139027892e-06,1.1462694139027892e-06,0.21999533362324356,5.210426035062411e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.346500+00:00,1.0051258252098108e-06,1.0051258252098108e-06,0.20520721203235262,4.898101851563309e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.346843+00:00,6.523535927496536e-07,6.523535927496536e-07,0.1523213907431408,4.282744462658668e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.346991+00:00,6.886670502818794e-07,6.886670502818794e-07,0.1568984090659988,4.389254514315654e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.346994+00:00,2.863535596861867e-07,2.863535596861867e-07,0.09225270630596635,3.1040125667041494e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.348768+00:00,5.884374014479179e-07,5.884374014479179e-07,0.1046070885635342,5.6252153609124135e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.350416+00:00,6.406612276888057e-07,6.406612276888057e-07,0.13815546433853476,4.6372485573132016e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.350809+00:00,1.8640091223169292e-07,1.8640091223169292e-07,0.055073084871896494,3.3846099717361636e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.351151+00:00,1.2372196609413856e-07,1.2372196609413856e-07,0.03200615197650944,3.865568287776142e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.351381+00:00,1.2372196609413856e-07,1.2372196609413856e-07,0.03200615197650944,3.865568287776142e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.351562+00:00,1.3152189513943792e-07,1.3152189513943792e-07,0.03402394818773266,3.865568287776142e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.352139+00:00,2.003413097526693e-07,2.003413097526693e-07,0.06659631427331326,3.0082942568032007e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.352508+00:00,1.105830552501586e-07,1.105830552501586e-07,0.04139979931976315,2.6711012388257938e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.352708+00:00,1.17435021786529e-07,1.17435021786529e-07,0.03900477558725968,3.0107857311935767e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.353293+00:00,7.72761636788663e-08,7.72761636788663e-08,0.027240536523347597,2.836807696964179e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.353335+00:00,-1.3693546666761479e-08,-1.3693546666761479e-08,0.006040760610058329,2.2668580251236367e-06,0,0,0.0,0.0,1.0
BTC-USD,2025-12-09 16:49:40.353879+00:00,1.0934380901933305e-07,1.0934380901933305e-07,0.06521143877754149,1.6767581128265268e-06,0,0,0.0,0.0,1.0
